a 啊
anbu 安瓿
anbudangche 安步当车
anbujiuban 按部就班
anbuwangwei 安不忘危
ancang 暗藏
ancha 安插
anchan 鞍韂
anchang 暗场
anchang 暗娼
anchangchushun 安常处顺
anchangshougu 安常守故
anchao 暗潮
ancheng 案秤
anchepulun 安车蒲轮
anchun 鹌鹑
ancuo 安厝
ancuo 按错
anda 谙达
andan 黯淡
andanwuguang 暗淡无光
andao 按到
andao 暗道
andi 案底
andian 按点
andili 暗地里
anding 安定
anduchencang 暗度陈仓
andulaoxing 案牍劳形
anduleye 安堵乐业
andun 安顿
andurugu 安堵如故
anfan 案犯
anfang 安放
anfang 暗房
anfenshouji 安分守己
anfenzhizu 安分知足
anfou 安否
anfu 安抚
anfuxupin 安富恤贫
anfuzunrong 安富尊荣
ang1 肮
ang1 醃
ang1 骯
ang2 卬
ang2 岇
ang2 昻
ang4 枊
ang4 醠
angang 昂昂
angcangqichi 昂藏七尺
ange 安格
angfen 昂奋
anggelusakexunren 盎格鲁撒克逊人
anggui 昂贵
angou 暗沟
angranzide 昂然自得
angshoukuobu 昂首阔步
angshoushenmei 昂首伸眉
angshoutianwai 昂首天外
angshoutingxiong 昂首挺胸
angshouwangtian 昂首望天
angsi 盎司
angyuxiangji 盎盂相击
angyuxiangqiao 盎盂相敲
angzang 肮脏
anhai 暗害
anhan 暗含
anhao 安好
anhao 暗号
anhe 暗合
anhe 暗盒
anhei 黯黑
anhuaer 暗花儿
anhundingpo 安魂定魄
anhuo 暗火
anji 暗疾
anjialiye 安家立业
anjialuohu 安家落户
anjian 按键 安检 案件
anjian 鞍鞯
anjianer 暗间儿
anjiannanfang 暗箭难防
anjianrenyuan 安检人员
anjianshangren 暗箭伤人
anjiao 暗礁
anjiaqinbing 按甲寝兵
anjiaxiubing 按甲休兵
anjie 按揭
anjier 暗记儿
anjin 按金
anjing 安静
anjing 暗井
anjisuan 氨基酸
anjuan 案卷
anjuleye 安居乐业
ankang 安康
ankang 鮟鱇
ankouer 按扣儿
anlan 安澜
anlaohuaishao 安老怀少
anle 安了
anlesi 安乐死
anlewo 安乐窝
anli 按例
anli 按理
anli 暗里
anli 案例
anlian 暗恋
anlian 谙练
anliangchubao 安良除暴
anlihui 安理会
anliu 暗流
anlouzi 暗楼子
anma 暗码
anmai 按脉
anmalaodun 鞍马劳顿
anmalaokun 鞍马劳困
anmeidaiyan 安眉带眼
anmeizhishi 暗昧之事
anmen 俺们
anmenzi 暗门子
anmi 安谧
anmian 安眠
anmingaoshi 安民告示
anmingzeshi 按名责实
anmo 按摩
anmoqi 按摩器
anmu 案目
anna 按纳
annabuzhu 按捺不住
anneirangwai 安内攘外
anning 安宁
anniu 按钮
anniutubiao 按钮图标
annuali 按奴阿里
anpai 安排
anpan 暗盘
anpei 安培
anpeiji 安培计
anpeixuxing 按辔徐行
anpinledao 安贫乐道
anpinlejian 安贫乐贱
anqi 按期
anqi 暗器
anqianmahou 鞍前马后
anqiannao 暗气暗恼
anqier 安琪儿
anqing 安庆
anqing 案情
anqu 安去
anquan 安全
anquandao 安全岛
anquandeng 安全灯
anquandianya 安全电压
anquangan 安全感
anquanlishihui 安全理事会
anquanmen 安全门
anquanmoshi 安全模式
anquantaojian 安全套见
anquantidao 安全剃刀
anquanweishi 安全卫士
anquanxing 安全性
anquanxishu 安全系数
anranshangshen 黯然伤神
anranshise 黯然失色
anranwushi 安然无事
anranwuyang 安然无恙
anranxiaohun 黯然销魂
anrenwuqin 安忍无亲
anruo 暗弱
anrupanshi 安如磐石
anrutaishan 安如泰山
ansha 暗杀
ansha 暗沙
anshang 暗伤
anshao 暗哨
anshe 安设
anshe 暗射
ansheditu 暗射地图
anshen 安神
ansheng 安生
anshenliming 安身立命
anshenweile 安身为乐
anshenzhidi 安身之地
anshi 按时 暗示
anshibuqi 暗室不欺
anshichushun 安时处顺
anshifengdeng 暗室逢灯
anshikuixin 暗室亏心
anshilichu 安室利处
anshiqiuwu 暗室求物
anshiqixin 暗室欺心
anshiruchang 安适如常
anshu 桉树
